Date,Open,High,Low,Close,Volume,Dividends,Stock Splits
10/22/08,178.67368,185.03003,172.17216,178.01302,13106880,0,0
10/23/08,177.00200,179.17918,169.16417,176.33633,12944842,0,0
10/24/08,163.39839,175.41042,162.53253,169.81482,14703282,0,0
10/27/08,167.57257,171.67168,162.96297,164.90991,12388999,0,0
10/28/08,169.69470,184.83984,164.41942,184.55956,16194589,0,0
10/29/08,183.07808,185.68568,176.36136,179.17918,19493687,0,0
10/30/08,184.41441,186.18619,179.36436,180.02502,15961822,0,0
10/31/08,178.25826,186.16617,177.31232,179.85986,14831753,0,0
11/3/08,178.96896,181.67668,170.88588,173.41841,11897091,0,0
11/4/08,176.89690,186.36636,172.92293,183.65366,14685100,0,0
11/5/08,181.25626,184.62462,170.82582,171.29129,13879107,0,0
11/6/08,170.15515,172.38239,163.06807,165.77577,17132450,0,0
11/7/08,166.72673,170.74574,162.82784,165.73573,9353237,0,0
11/10/08,164.16417,164.88489,154.88989,159.54955,16144040,0,0
11/11/08,154.49950,158.30830,150.41042,155.88588,20272907,0,0
11/12/08,151.17618,156.40140,144.02402,145.64565,20082098,0,0
11/13/08,146.03104,156.65666,140.14014,156.19620,26442931,0,0
11/14/08,151.77678,162.65765,151.43143,155.16516,19015166,0,0
11/17/08,151.65166,155.23523,149.12413,150.21021,15072512,0,0
11/18/08,150.93594,152.01701,142.81783,148.85886,16675508,0,0
11/19/08,147.84285,150.24524,139.42943,140.23022,15653531,0,0
11/20/08,137.58258,141.61162,129.64964,129.90991,19539241,0,0
11/21/08,131.38638,134.81982,123.77377,131.34634,20468511,0,0
11/24/08,134.76477,135.11011,124.62963,128.84885,20089291,0,0
11/25/08,134.47447,143.47348,133.79379,141.16617,21520858,0,0
11/26/08,140.28027,147.87788,138.23824,146.19119,12700487,0,0
11/28/08,145.43544,148.37337,144.28429,146.62663,5125869,0,0
12/1/08,143.48349,143.83383,133.12312,133.12813,11410978,0,0
12/2/08,135.00000,139.02902,131.42142,137.69269,11667721,0,0
12/3/08,135.06006,140.82082,132.80280,139.85486,11797790,0,0
12/4/08,138.40340,141.88689,134.51952,137.30731,9763427,0,0
12/5/08,135.64565,142.26227,132.14214,142.13713,13029358,0,0
12/8/08,145.14014,154.87488,141.14114,151.20621,16272311,0,0
12/9/08,148.99399,159.15916,148.65366,153.13814,13766020,0,0
12/10/08,154.77478,157.60760,152.40741,154.56456,10463526,0,0
